title,author,generes,page_count,publisher,comb
attack on titan: volume 1,Hajime Isayama,none,192.0,Kodansha Comics,attack on titan: volume 1 Hajime Isayama none Kodansha Comics
antiques roadkill: a trash 'n' treasures mystery,Barbara Allan,"Fiction , Mystery &amp, Detective , Cozy , General",288.0,Kensington Publishing Corp.,"antiques roadkill: a trash 'n' treasures mystery Barbara Allan Fiction , Mystery &amp, Detective , Cozy , General Kensington Publishing Corp."
the art of super mario odysse,Nintendo,"Games &amp, Activities , Video &amp, Electronic",368.0,Dark Horse Comics,"the art of super mario odysse Nintendo Games &amp, Activities , Video &amp, Electronic Dark Horse Comics"
getting away is deadly: an ellie avery myster,Sara Rosett,none,320.0,Kensington Publishing Corp.,getting away is deadly: an ellie avery myster Sara Rosett none Kensington Publishing Corp.
the painted man ,Peter V. Brett,"Fiction , Fantasy , Dark Fantasy",544.0,HarperCollins UK,"the painted man  Peter V. Brett Fiction , Fantasy , Dark Fantasy HarperCollins UK"
a feast for crows,George R.R. Martin,none,864.0,HarperCollins UK,a feast for crows George R.R. Martin none HarperCollins UK
god of war: the official novelization,J.M. Barlog,"Fiction , Media Tie-In",400.0,Titan Books,"god of war: the official novelization J.M. Barlog Fiction , Media Tie-In Titan Books"
edgedancer: from the stormlight archive,Brandon Sanderson,"Fiction , Fantasy , Epic",226.0,Tor Books,"edgedancer: from the stormlight archive Brandon Sanderson Fiction , Fantasy , Epic Tor Books"
"blood, sweat, and pixels: the triumphant, turbulent stories behind how video games are made",Jason Schreier,"Games &amp, Activities , Video &amp, Electronic",304.0,HarperCollins,"blood, sweat, and pixels: the triumphant, turbulent stories behind how video games are made Jason Schreier Games &amp, Activities , Video &amp, Electronic HarperCollins"
twas the nightshift before christmas: festive hospital diaries,Adam Kay,"Biography &amp, Autobiography , Medical (incl. Patients)",112.0,Pan Macmillan,"twas the nightshift before christmas: festive hospital diaries Adam Kay Biography &amp, Autobiography , Medical (incl. Patients) Pan Macmillan"
sword of destiny: witcher 2: tales of the witcher,Andrzej Sapkowski,"Fiction , Fantasy , Dragons &amp, Mythical Creatures",400.0,Hachette UK,"sword of destiny: witcher 2: tales of the witcher Andrzej Sapkowski Fiction , Fantasy , Dragons &amp, Mythical Creatures Hachette UK"
the mysterious affair at styles ,Agatha Christie,none,208.0,HarperCollins UK,the mysterious affair at styles  Agatha Christie none HarperCollins UK
riley paige mystery bundle: once gone (#1) and once taken (#2)and once craved (#3),Blake Pierce,none,250.0,Blake Pierce,riley paige mystery bundle: once gone (#1) and once taken (#2)and once craved (#3) Blake Pierce none Blake Pierce
deadpool kills the marvel universe,Cullen Bunn,"Comics &amp, Graphic Novels , Superheroes",96.0,Marvel Entertainment,"deadpool kills the marvel universe Cullen Bunn Comics &amp, Graphic Novels , Superheroes Marvel Entertainment"
